# Constructed from biom file
#OTU ID	AC1-1_S10_L001_R1_001	AC1-2_S11_L001_R1_001	AC1-3_S12_L001_R1_001	AC2-1_S30_L001_R1_001	AC2-2_S31_L001_R1_001	AC2-3_S32_L001_R1_001	AN1-1_S1_L001_R1_001	AN1-2_S40_L001_R1_001	AN1-3_S41_L001_R1_001	AN2-1_S2_L001_R1_001	AN2-2_S3_L001_R1_001	AN2-3_S42_L001_R1_001	KL1-1_S7_L001_R1_001	KL1-2_S8_L001_R1_001	KL1-3_S9_L001_R1_001	KL2-1_S27_L001_R1_001	KL2-2_S28_L001_R1_001	KL2-3_S29_L001_R1_001	LS1-1_S4_L001_R1_001	LS1-2_S5_L001_R1_001	LS1-3_S6_L001_R1_001	LS2-1_S34_L001_R1_001	LS2-2_S35_L001_R1_001	LS2-3_S36_L001_R1_001	MJ1-1_S33_L001_R1_001	MJ1-2_S25_L001_R1_001	MJ1-3_S26_L001_R1_001	MJ2-1_S37_L001_R1_001	MJ2-2_S38_L001_R1_001	MJ2-3_S39_L001_R1_001	NS1-1_S16_L001_R1_001	NS1-2_S17_L001_R1_001	NS1-3_S18_L001_R1_001	NS2-1_S22_L001_R1_001	NS2-2_S23_L001_R1_001	NS2-3_S24_L001_R1_001	RF1-1_S13_L001_R1_001	RF1-2_S14_L001_R1_001	RF1-3_S15_L001_R1_001	RF2-1_S19_L001_R1_001	RF2-2_S20_L001_R1_001	RF2-3_S21_L001_R1_001
k__Pseudomonadati;p__Planctomycetota;c__Planctomycetia;o__Isosphaerales;f__Isosphaeraceae;g__Tundrisphaera	12.0	132.0	35.0	0.0	91.0	62.0	10.0	0.0	39.0	2.0	0.0	0.0	63.0	66.0	0.0	58.0	66.0	68.0	166.0	68.0	63.0	16.0	14.0	8.0	98.0	25.0	103.0	95.0	193.0	84.0	0.0	0.0	202.0	78.0	124.0	114.0	48.0	62.0	117.0	0.0	69.0	26.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Micropruina	0.0	51.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	33.0	38.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	25.0	0.0	0.0	0.0	40.0	84.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Thermoactinomycetaceae;g__Planifilum	0.0	0.0	0.0	64.0	0.0	31.0	0.0	0.0	0.0	54.0	33.0	23.0	27.0	14.0	0.0	26.0	0.0	14.0	0.0	0.0	0.0	14.0	12.0	8.0	19.0	16.0	43.0	0.0	0.0	0.0	9.0	12.0	0.0	0.0	0.0	0.0	5.0	0.0	12.0	9.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Catenulisporales;f__Actinospicaceae;g__Actinospica	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	82.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	19.0	8.0	11.0	83.0	65.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0
k__Pseudomonadati;p__Myxococcota;c__Myxococcota;o__Haliangiales;f__Kofleriaceae;g__Kofleria	0.0	15.0	0.0	40.0	0.0	0.0	36.0	34.0	29.0	39.0	93.0	75.0	15.0	8.0	0.0	19.0	7.0	11.0	0.0	13.0	11.0	0.0	0.0	0.0	18.0	38.0	40.0	0.0	5.0	0.0	45.0	53.0	17.0	40.0	43.0	35.0	44.0	0.0	0.0	17.0	20.0	18.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acidibrevibacterium	87.0	17.0	48.0	0.0	21.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	100.0	41.0	0.0	0.0	0.0	16.0	27.0	15.0	79.0	31.0	37.0	53.0	46.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micromonosporales;f__Micromonosporaceae;g__Dactylosporangium	0.0	13.0	0.0	0.0	16.0	10.0	0.0	4.0	0.0	0.0	0.0	9.0	18.0	14.0	0.0	0.0	0.0	0.0	20.0	13.0	40.0	0.0	0.0	0.0	8.0	0.0	19.0	0.0	0.0	0.0	20.0	20.0	20.0	0.0	0.0	0.0	18.0	0.0	0.0	39.0	0.0	11.0
k__Bacillati;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Actinomarinicola	149.0	18.0	31.0	152.0	39.0	79.0	63.0	71.0	69.0	63.0	104.0	110.0	218.0	99.0	0.0	139.0	77.0	43.0	16.0	8.0	14.0	112.0	68.0	24.0	18.0	70.0	69.0	6.0	12.0	6.0	72.0	45.0	32.0	43.0	44.0	102.0	18.0	48.0	39.0	120.0	13.0	81.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Stakelama	0.0	0.0	0.0	0.0	0.0	35.0	30.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	93.0	0.0	39.0	48.0	28.0	0.0	0.0	20.0	21.0	25.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Atopostipes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	334.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Myxococcota;c__Myxococcota;__;__;__	0.0	0.0	0.0	29.0	0.0	13.0	4.0	58.0	0.0	88.0	19.0	5.0	132.0	197.0	0.0	0.0	10.0	14.0	0.0	4.0	0.0	0.0	0.0	0.0	103.0	41.0	23.0	0.0	6.0	16.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;__	0.0	0.0	0.0	16.0	0.0	20.0	0.0	32.0	40.0	0.0	0.0	14.0	0.0	27.0	0.0	0.0	13.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	44.0	18.0	0.0	0.0	0.0	0.0	0.0	49.0	20.0	0.0	0.0
k__Pseudomonadati;p__Acidobacteriota;c__Terriglobia;o__Terriglobales;f__Acidobacteriaceae;__	13.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0	6.0	8.0	7.0	0.0	0.0	816.0	55.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	124.0	19.0	19.0	333.0	356.0	351.0	2.0	11.0	30.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	43.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;__;__	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	16.0	7.0	0.0	0.0	0.0	0.0	0.0	6.0	120.0	22.0	28.0	45.0	22.0	315.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Nocardiaceae;g__Rhodococcoides	0.0	11.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	17.0	40.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	131.0	54.0	0.0	0.0	5.0	0.0	9.0	17.0	14.0	11.0	0.0	0.0	9.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Roseiarcaceae;g__Roseiarcus	86.0	0.0	9.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	27.0	0.0	108.0	82.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
k__Pseudomonadati;p__Myxococcota;c__Myxococcota;o__Polyangiales;f__Polyangiaceae;__	82.0	0.0	0.0	83.0	0.0	60.0	0.0	43.0	9.0	234.0	114.0	116.0	197.0	264.0	0.0	16.0	25.0	10.0	22.0	49.0	0.0	6.0	6.0	0.0	48.0	230.0	90.0	17.0	15.0	29.0	67.0	58.0	8.0	25.0	38.0	5.0	31.0	11.0	0.0	9.0	0.0	37.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Roseomonadaceae;__	0.0	0.0	31.0	0.0	4.0	0.0	0.0	9.0	0.0	10.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	58.0	35.0	0.0	0.0	23.0	30.0	0.0	0.0	16.0	15.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	28.0	0.0	0.0	0.0	158.0	8.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Lysinimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	74.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	34.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Dermacoccaceae;__	158.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	50.0	104.0	26.0	0.0	0.0	0.0	25.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	277.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Promicromonosporaceae;g__Cellulosimicrobium	0.0	0.0	0.0	16.0	0.0	0.0	0.0	23.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	22.0	51.0	18.0	0.0	0.0	0.0	0.0	0.0	16.0
k__Pseudomonadati;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Lacipirellulaceae;g__Pirellulimonas	8.0	7.0	0.0	38.0	0.0	4.0	184.0	70.0	139.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Geodermatophilales;f__Geodermatophilaceae;g__Petropleomorpha	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	10.0	0.0	25.0	5.0	0.0	0.0	48.0	64.0	0.0	0.0	0.0	23.0	0.0	26.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	28.0	9.0	0.0	0.0	0.0	0.0	21.0	0.0	15.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Trinickia	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	11.0	13.0	40.0	0.0	20.0	0.0	0.0	0.0	0.0	24.0	0.0	13.0	13.0	0.0	0.0	0.0	9.0	87.0
k__Pseudomonadati;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Arenimicrobiaceae;g__Arenimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	14.0	19.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	131.0	225.0	12.0	27.0	14.0	5.0	0.0	18.0	0.0	12.0	0.0
k__Pseudomonadati;p__Myxococcota;c__Myxococcota;o__Haliangiales;f__Kofleriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.0	68.0	134.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	12.0	102.0	67.0	13.0	0.0	11.0	0.0	0.0	23.0	0.0	30.0	33.0	47.0	0.0	0.0	0.0	0.0	43.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Pseudoxanthomonas	0.0	54.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	50.0	0.0	0.0	0.0	0.0	94.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	53.0	6.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	41.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	34.0	40.0	52.0	11.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;__	27.0	135.0	54.0	19.0	23.0	0.0	0.0	7.0	0.0	0.0	52.0	43.0	49.0	139.0	0.0	12.0	0.0	23.0	33.0	50.0	51.0	0.0	0.0	0.0	21.0	22.0	21.0	0.0	0.0	0.0	0.0	0.0	113.0	22.0	81.0	61.0	50.0	16.0	27.0	27.0	50.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Cyclobacteriaceae;__	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	243.0	17.0	0.0	32.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Phyllobacteriaceae;g__Aminobacter	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	16.0	18.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Xinfangfangia	0.0	98.0	0.0	0.0	119.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	6.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Curvibacter	0.0	46.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	70.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Dermabacteraceae;g__Brachybacterium	0.0	22.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	26.0	67.0	44.0	0.0	22.0	8.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Cytophagia;o__Cytophagales;__;__	0.0	111.0	45.0	0.0	34.0	0.0	18.0	9.0	9.0	82.0	70.0	73.0	35.0	40.0	0.0	0.0	0.0	4.0	16.0	7.0	10.0	0.0	12.0	0.0	4.0	49.0	40.0	0.0	0.0	0.0	2.0	0.0	0.0	7.0	26.0	0.0	8.0	9.0	46.0	0.0	0.0	19.0
k__Pseudomonadati;p__Verrucomicrobiota;c__Verrucomicrobiia;__;__;__	0.0	0.0	0.0	66.0	0.0	18.0	66.0	10.0	68.0	27.0	24.0	0.0	74.0	39.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	43.0	25.0	0.0	0.0	20.0	22.0	17.0	0.0	0.0	0.0	16.0	42.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;__	50.0	115.0	73.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	24.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Sulfuricellaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	85.0	63.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Ammoniphilus	0.0	0.0	0.0	0.0	0.0	0.0	51.0	24.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	94.0	90.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	22.0	0.0	14.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Telluria	34.0	39.0	0.0	0.0	12.0	0.0	0.0	18.0	49.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	30.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	18.0	30.0	0.0	17.0	14.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rubricoccaceae;g__Rubrivirga	0.0	64.0	40.0	0.0	27.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Frankiales;f__Frankiaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	50.0	53.0	0.0	0.0	91.0	0.0	0.0	137.0	228.0	454.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nonomuraea	0.0	0.0	0.0	11.0	0.0	0.0	17.0	10.0	0.0	15.0	0.0	19.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	12.0	15.0	22.0	15.0	20.0	0.0	0.0	0.0	33.0	0.0	12.0
k__Thermotogati;p__Deinococcota;c__Deinococci;o__Trueperales;f__Trueperaceae;g__Truepera	0.0	16.0	0.0	23.0	5.0	5.0	0.0	5.0	0.0	0.0	0.0	2.0	4.0	9.0	0.0	148.0	58.0	0.0	3.0	0.0	0.0	6.0	264.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	5.0	6.0	0.0	6.0	0.0	14.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Dermacoccaceae;g__Flexivirga	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	29.0	29.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Epilithonimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	284.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Roseomonadaceae;g__Dankookia	0.0	16.0	0.0	7.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	28.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	31.0	47.0	26.0	30.0	28.0	26.0	0.0	0.0	12.0	14.0	17.0
k__Pseudomonadati;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Erythrobacteraceae;g__Tsuneonella	0.0	110.0	30.0	0.0	76.0	0.0	0.0	0.0	19.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	0.0	0.0	0.0	6.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	26.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__Propioniciclava	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	63.0	92.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;__	0.0	0.0	7.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	460.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidiferrimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0	0.0	36.0	87.0	97.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Gemmatimonadota;c__Gemmatimonadia;o__Gemmatimonadales;f__Gemmatimonadaceae;__	84.0	38.0	61.0	58.0	79.0	189.0	53.0	116.0	115.0	8.0	24.0	61.0	325.0	148.0	0.0	141.0	123.0	94.0	0.0	62.0	76.0	123.0	0.0	171.0	71.0	95.0	71.0	0.0	0.0	5.0	189.0	236.0	244.0	122.0	85.0	130.0	117.0	141.0	261.0	158.0	76.0	89.0
k__Pseudomonadati;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Fulvivirgaceae;g__Chryseolinea	0.0	0.0	0.0	36.0	0.0	0.0	28.0	23.0	16.0	57.0	43.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Intrasporangiaceae;g__Ornithinicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	249.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacillati;p__Bacillota;c__Bacilli;o__Bacillales;f__Paenibacillaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	15.0	0.0	35.0	33.0	0.0	44.0	0.0	33.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__Methylotuvimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	258.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Pseudomonadati;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Puia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	37.0	52.0	0.0	36.0	60.0	31.0	0.0	85.0	82.0	0.0	77.0	52.0	42.0	0.0	13.0	0.0	36.0	0.0
